,State Case,Weather,Light_Type,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
659,10661,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
660,10662,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
661,10663,Clear,Dark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
662,10664,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
663,10665,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
664,10666,Rain,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
665,10667,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
666,10668,Rain,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
667,10669,Clear,Dark,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
668,10670,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
669,10671,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
670,10672,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
671,10673,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
672,10674,Not Reported,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
673,10675,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
674,10676,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
675,10677,Clear,Dark,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
676,10678,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
677,10679,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
678,10680,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
679,10681,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
680,10682,"Fog, Smog, Smoke",Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
681,10683,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
682,10684,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
683,10685,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
684,10686,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
685,10687,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
686,10688,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
687,10689,Clear,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
688,10690,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
689,10691,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
690,10692,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
691,10693,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
692,10694,Rain,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
693,10695,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
694,10696,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
695,10697,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
696,10698,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
697,10699,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
698,10700,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
699,10701,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
700,10702,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
701,10703,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
702,10704,Clear,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
703,10705,Clear,Daylight,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
704,10706,Clear,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
705,10707,Clear,Dark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
706,10708,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
707,10709,Rain,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
708,10710,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
709,10711,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
710,10712,Rain,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
711,10713,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
712,10714,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
713,10715,Rain,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
714,10716,Rain,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
715,10717,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
716,10718,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
717,10719,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
718,10720,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
719,10721,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
720,10722,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
721,10723,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
722,10724,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
723,10725,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
724,10726,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
725,10727,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
726,10728,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
727,10729,Clear,Daylight,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
728,10730,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
729,10731,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
730,10732,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
731,10733,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
732,10734,"Fog, Smog, Smoke",Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
733,10735,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
734,10736,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
736,10738,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
737,10739,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
738,10740,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
739,10741,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
740,10742,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
741,10743,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
742,10744,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
743,10745,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
744,10746,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
745,10747,Clear,Dark,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
