,State Case,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
171,10173,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
172,10174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173,10175,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
174,10176,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
175,10177,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
176,10178,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
177,10179,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
178,10180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,10181,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180,10182,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
181,10183,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
182,10184,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
183,10185,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,10186,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,10187,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
186,10188,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
187,10189,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
188,10190,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
189,10191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
190,10192,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
191,10193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
192,10194,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
193,10195,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
194,10196,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
195,10197,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,10198,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
197,10199,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
198,10200,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
199,10201,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200,10202,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
201,10203,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
202,10204,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
203,10205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,10206,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
205,10207,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
206,10208,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
207,10209,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
208,10210,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
209,10211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
210,10212,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
211,10213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
212,10214,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
213,10215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,10216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,10217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
216,10218,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
217,10219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,10220,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
219,10221,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
220,10222,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
221,10223,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
222,10224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223,10225,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
224,10226,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
225,10227,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
226,10228,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
227,10229,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
228,10230,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
229,10231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
230,10232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
231,10233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,10234,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
233,10235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
234,10236,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
235,10237,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
236,10238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
237,10239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
238,10240,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
239,10241,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
240,10242,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
241,10243,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
242,10244,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
243,10245,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
244,10246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
245,10247,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
246,10248,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
247,10249,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
248,10250,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
249,10251,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
250,10252,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
251,10253,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
252,10254,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
253,10255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
254,10256,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
255,10257,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
256,10258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
257,10259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
258,10260,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
259,10261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
260,10262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
261,10263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
262,10264,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
