,State Case,Age,Sex,Drinking_Involvement,Drugs_involvement,Injury_Severity,Race_Involvement,Rollover,Case Year,Weather,Light_Type,Clear,"Fog, Smog, Smoke",Weather Not Reported,Rain,Snow,Dark,Dawn/Dusk,Daylight
139,10719,41,2,2,2,3,0,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,10142,42,1,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,10027,42,1,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
142,10581,42,1,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143,10626,42,2,0,0,1,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144,10197,42,2,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,10521,42,2,1,0,4,1,1,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
146,10661,43,1,1,2,3,0,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
147,10661,59,1,0,0,3,0,0,2014,Rain,Dark,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
148,10518,43,1,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
149,10217,43,2,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,10570,43,2,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,10570,58,2,2,2,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152,10068,43,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
153,10547,43,2,0,1,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
154,10446,44,1,0,0,4,1,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
155,10446,60,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,10715,45,1,0,0,3,0,0,2014,Rain,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,10080,45,1,1,1,4,1,1,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
158,10033,45,2,0,0,3,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
159,10033,60,1,0,0,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
160,10352,45,2,2,2,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
161,10352,51,1,0,0,2,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
162,10316,46,1,0,1,4,1,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
163,10316,49,2,0,0,3,0,0,2014,Clear,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
164,10614,46,2,0,0,3,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
165,10614,60,1,0,0,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
166,10487,46,2,1,1,4,1,1,2014,Clear,Dawn/Dusk,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167,10363,47,1,0,0,1,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
168,10565,47,1,2,2,2,0,0,2014,Clear,Daylight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
